;link;name;genre;director;year;appearance
0;https://kinobar.vip/24317-chernyy-yaschik.html;Черный ящик;Фильмы 2021, Драмы, Триллеры, Детектив, Новинки кино;Ян Гозлан;2021;Вчера, 08:23
1;https://kinobar.vip/24888-valdo.html;Вальдо;Фильмы 2021, Боевики, Триллеры, Детектив, Новинки кино;Тим Киркби;2021;28 января 2022
2;https://kinobar.vip/24705-do-samoy-smerti.html;К югу от рая;Фильмы 2021, Драмы, Боевики, Триллеры, Ужасы, Детектив, Криминал, Новинки кино;Ахарон Кешалес;2021;28 января 2022
3;https://kinobar.vip/25660-zaslanec-iz-kosmosa-2-sezon-1-seriya.html;Засланец из космоса 2 сезон 1-2 серия;Комедии, Сериалы, Драмы, Фантастика, Детектив;Роберт Данкан МакНил, Джей Чандрашекхар, Шеннон Коли;2021;Сегодня, 13:15
4;https://kinobar.vip/25728-dyavolik.html;Дьяволик;Фильмы 2021, Боевики, Триллеры, Детектив, Криминал, Скоро в кино;Антонио Манетти, Марко Манетти;2021;Сегодня, 09:13
5;https://kinobar.vip/24515-temnoe-zhelanie-2-sezon.html;Тёмное желание 2 сезон 1-15 серия;Сериалы, Драмы, Триллеры, Детектив;Кенья Маркес, Педро Пабло Ибарра;2021;Сегодня, 08:30
6;https://kinobar.vip/22946-nevskiy-ohota-na-arhitektora-1-sezon-v1.html;Невский. Охота на Архитектора 5 сезон 1-6,7,8,9;Сериалы, Детектив;Дмитрий Аверин;2022;Вчера, 19:35
7;https://kinobar.vip/20088-cyplenok-zharenyy-1-sezon-v1.html;Цыпленок жареный 1 сезон 1-5 серия;Сериалы, Мелодрамы, Детектив;Елена Николаева;2019;Вчера, 19:34
8;https://kinobar.vip/24033-fbr-4-sezon.html;ФБР 4 сезон 1-12 серия;Сериалы, Боевики, Триллеры, Детектив, Криминал;Алекс Чаппл, Жан Де Сегонзак, Стивен Серджик;2021;Вчера, 16:14
9;https://kinobar.vip/24265-fbr-samye-razyskivaemye-prestupniki-3-sezon.html;ФБР: Самые разыскиваемые преступники 3 сезон 1-12;Сериалы, Драмы, Боевики, Триллеры, Детектив, Криминал;Кен Джиротти, Джим МакКэй, Фред Бернер;2021;Вчера, 14:28
10;https://kinobar.vip/25722-molodoy-vallander-2-sezon.html;Молодой Валландер 2 сезон;Сериалы, Драмы, Триллеры, Детектив, Криминал;Оле Эндресен, Йенс Йонссон;2022;Вчера, 10:02
11;https://kinobar.vip/25703-belaya-mgla.html;Белая мгла;Боевики, Триллеры, Детектив, Криминал;Доминик Сена;2009;31 января 2022
12;https://kinobar.vip/25586-strashnye-istorii-v-dvuh-predlozheniyah-4-sezon-12-seriya.html;Страшные истории в двух предложениях 4 сезон;Сериалы, Драмы, Триллеры, Ужасы, Детектив;Вера Миао, Рания Аттих, Дэниэл Гарсиа;2022;31 января 2022
13;https://kinobar.vip/25685-chikatilo-2-sezon.html;Чикатило 2 сезон;Сериалы, Драмы, Триллеры, Детектив, Криминал;Сарик Андреасян;2022;31 января 2022
